datetime,high,low,average,volume
2013-09-03 16:47:06,102.95,102.95,102.95,3222.85
2013-09-04 16:48:02,102.5,99.45,100.47,7845.5
2013-09-05 21:32:12,93.53,93.53,93.53,3461.37
2013-09-06 21:32:51,96.94,95.76,96.55,3000.14
2013-09-07 21:33:15,94.73,93.41,94.07,1786.78
2013-09-08 21:34:05,98.54,98.25,98.38,5695.22
2013-09-09 21:34:32,98.57,96.54,97.48,3094.25
2013-09-10 21:34:54,101.34,98.73,99.41,5624.93
2013-09-11 21:35:32,101.76,99.56,100.78,4702.66
2013-09-12 21:35:36,101.77,100.74,101.3,3239.07
2013-09-13 21:36:05,99.85,97.78,98.55,1856.48
2013-09-14 21:36:19,98.55,97.28,97.75,1235.92
2013-09-15 21:36:29,101.56,100.71,101,3794.57
2013-09-16 21:37:40,99.93,98.96,99.35,2489.38
2013-09-18 08:27:46,98.5,98.5,98.5,2125.74
2013-09-19 08:57:27,101.94,101.94,101.94,4557
2013-09-20 08:58:09,98.17,97.11,97.66,1750.96
2013-09-21 08:58:19,98.09,97.35,97.94,649.74
2013-09-22 08:58:47,99.35,98.17,98.82,1440.64
2013-09-23 08:59:05,97.14,95.5,96.28,2270.37
2013-09-24 09:00:05,96.67,95.52,95.97,3723.4
2013-09-25 09:01:01,97.54,96.73,97.09,2747.25
2013-09-26 09:02:05,98.04,97.41,97.66,3638.01
2013-09-27 09:02:28,99.66,97.72,98.07,1502.82
2013-09-28 09:02:31,103.35,102.4,102.78,3570.47
2013-09-29 09:03:03,102.17,101.02,101.34,3677.74
2013-09-30 09:03:06,101.21,98.7,99.87,3058.16
2013-10-01 09:03:50,98.98,98.46,98.65,3641.44
2013-10-02 09:04:46,94.49,93.66,93.97,19372.69
2013-10-03 21:13:34,98.09,98.09,98.09,4967.32
2013-10-04 21:13:45,97.12,95.4,96.18,1478.98
2013-10-05 21:14:02,97.2,96.48,97.1,1252.45
2013-10-06 21:14:05,97.49,96.58,97.18,2645.39
2013-10-07 21:14:32,97.29,96.24,96.76,2753.59
2013-10-08 21:14:51,100.06,98.3,99.13,3171.27
2013-10-09 21:15:40,100.08,99.41,99.59,2341.78
2013-10-10 21:15:49,98.97,98.18,98.34,1346.45
2013-10-11 21:16:09,102.05,101.24,101.51,1512.33
2013-10-12 21:16:16,101.77,101.36,101.66,3304.6
2013-10-13 21:17:09,106.06,105.3,105.81,9878.62
2013-10-14 21:17:38,109.14,108.17,108.67,6587.02
2013-10-15 21:18:07,109.89,107.94,108.63,10042.69
2013-10-16 21:18:21,112.04,110.22,111.11,3798.27
2013-10-17 21:18:38,116.87,115.46,116.2,6149.14
2013-10-18 21:18:50,129.07,124.88,127.43,14150.94
2013-10-19 21:18:59,128.97,127.61,128.25,2082.69
2013-10-20 21:19:52,138.45,135.48,136.72,6425.74
2013-10-21 21:20:09,143.15,140.33,141.79,7646.64
2013-10-22 21:20:58,156.11,154.64,155.38,8289.47
2013-10-23 21:21:52,147.66,144.63,146.34,20917.3
2013-10-24 21:22:22,138.06,135.25,136.65,7701.95
2013-10-25 21:22:46,137.82,136.7,137.2,2018.26
2013-10-26 21:23:10,146.66,143.99,145.15,2247.81
2013-10-28 08:26:51,146.22,146.22,146.22,2960.24
2013-10-29 08:27:08,152.01,148.26,150.69,3286.85
2013-10-30 08:27:19,151.33,148.52,150.39,4315.8
2013-10-31 08:28:02,151.73,149.74,150.8,2713.37
2013-11-01 09:23:47,155.87,155.87,155.87,1918.07
2013-11-02 09:23:50,156.62,153.91,155.41,1665.77
2013-11-03 09:24:48,163.74,162.24,162.82,5470.42
2013-11-04 09:25:29,176.27,173.1,175.02,7773.15
2013-11-05 09:25:34,194.72,191.82,192.91,14618.18
2013-11-06 09:25:42,217.79,202.84,213.68,12283.14
2013-11-07 09:25:59,241.11,235.9,239.41,14342.95
2013-11-08 09:26:46,270.55,262.46,265.37,10490.41
2013-11-09 09:26:52,263.94,251.27,258.74,13862.54
2013-11-10 09:30:21,252.79,248.55,251.11,8179.62
2013-11-11 09:30:37,276.55,270.67,273.26,5576.1
2013-11-12 09:30:39,277.87,275.29,276.46,4178.4
2013-11-13 09:31:35,317.73,308.69,313.61,11242.71
2013-11-14 09:31:53,317.99,312.37,315.81,5731.42
2013-11-15 09:32:32,324.83,320.2,322.72,5772.36
2013-11-16 09:32:38,357.48,353.33,354.85,4115.59
2013-11-17 09:33:35,461.68,402.57,431.82,8658.28
2013-11-18 09:34:40,572.08,506.94,549.46,17196.27
2013-11-19 09:35:07,395.15,383,390.84,21790.01
2013-11-20 09:35:16,495.43,483.4,490.38,14752.33
2013-11-21 09:35:27,544.27,531.6,536.68,6586.99
2013-11-22 09:35:57,642.09,619.22,632.18,4712.04
2013-11-23 09:36:26,593.27,574.33,583.61,3580.4
2013-11-24 09:37:20,606.23,595.3,601.22,2180.72
2013-11-25 09:38:15,631,624.05,627.65,3202.64
2013-11-26 09:38:30,705.88,694.28,701.81,5962.83
2013-11-27 09:39:16,768.2,756.13,764.37,6211.27
2013-11-28 09:39:56,840.42,818.7,831.46,7847.27
2013-11-29 09:40:10,858.9,845.78,855.02,4577.08
2013-11-30 09:41:02,836.37,815.65,826.66,3015.53
2013-12-01 09:41:06,808.65,781.51,795.09,13263.64
2013-12-02 09:41:30,813.98,796.28,802.63,4065.77
2013-12-03 09:42:23,830.22,819.08,823.21,3883.58
2013-12-04 09:42:55,828.83,771.62,789.97,7786.51
2013-12-05 09:43:06,785.12,772.4,777.34,12324.13
2013-12-06 10:17:57,485.52,485.52,485.52,19468.75
